"","X.1","X_7","SAR","case_7","closest_SAR_7","X_10","case_10","closest_SAR_10","X","case_14","closest_SAR_14","clade1_cR0_7","clade1_cR0_10","clade1_cR0_14","clade2_R0_7","clade2_R0_10","clade2_R0_14"
"1",1,1,1e-06,9.99842616136171e-05,0.744157433364177,1,9.99834756151285e-05,0.459569030424409,1,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,1.34869700211613e-06,2.18334611521664e-06,3.21835649283961e-06
"2",2,2,0.005,9.99842616136171e-05,0.744157433364177,2,9.99834756151285e-05,0.459569030424409,2,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.00674348501058065,0.0109167305760832,0.0160917824641981
"3",3,3,0.01,9.99842616136171e-05,0.744157433364177,3,9.99834756151285e-05,0.459569030424409,3,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.0134869700211613,0.0218334611521664,0.0321835649283961
"4",4,4,0.015,9.99842616136171e-05,0.744157433364177,4,9.99834756151285e-05,0.459569030424409,4,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.0202304550317419,0.0327501917282496,0.0482753473925942
"5",5,5,0.02,9.99842616136171e-05,0.744157433364177,5,9.99834756151285e-05,0.459569030424409,5,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.0269739400423226,0.0436669223043328,0.0643671298567922
"6",6,6,0.025,9.99842616136171e-05,0.744157433364177,6,9.99834756151285e-05,0.459569030424409,6,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.0337174250529032,0.054583652880416,0.0804589123209903
"7",7,7,0.03,9.99842616136171e-05,0.744157433364177,7,9.99834756151285e-05,0.459569030424409,7,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.0404609100634839,0.0655003834564992,0.0965506947851883
"8",8,8,0.035,9.99842616136171e-05,0.744157433364177,8,9.99834756151285e-05,0.459569030424409,8,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.0472043950740646,0.0764171140325824,0.112642477249386
"9",9,9,0.04,9.99842616136171e-05,0.744157433364177,9,9.99834756151285e-05,0.459569030424409,9,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.0539478800846452,0.0873338446086656,0.128734259713584
"10",10,10,0.045,9.99842616136171e-05,0.744157433364177,10,9.99834756151285e-05,0.459569030424409,10,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.0606913650952258,0.0982505751847488,0.144826042177782
