"","Dim.1","Dim.2","Dim.3","Dim.4"
"AGO",-7.88497412779482,5.99204167895077,5.02950165270828,1.87747787071265
"ALB",3.7788715862317,-0.775188350660506,0.159415191386612,-1.03963092028411
"ARG",3.56362976412868,0.0424944249131446,1.75749352299498,0.942699520924752
"AZE",1.65431641050897,-0.798788425716451,-0.166384961166072,1.179648690598
"BDI",-8.8862469599295,5.0222282652537,-1.53640117924574,-0.372167309177477
"BEN",-6.85183973362774,4.17373537649463,1.27839230217053,0.43721371803119
"BGD",-2.78418896694161,-3.90020083512381,-3.06954246547506,-1.13046989550929
"BGR",6.59584109069157,-0.495170452880359,-2.33588791064403,-2.4002091355553
"BHR",3.34549596926463,-4.29388681226235,-2.71736033623217,8.92717173737269
"BHS",1.93436292576431,0.718157058298022,-2.9959887216546,2.22623280174436
"BLR",6.61408949291318,1.04225109892514,-1.67670579162621,0.673925864800988
"BLZ",-1.83961237411396,-0.894612960561237,2.5550738457035,1.31204433475873
"BOL",-0.975866355157594,2.47896660614754,2.70590873483034,1.63067519169678
"BRA",2.88684989990123,-1.60439884465444,0.187209946153323,1.26930970264391
"BRB",4.65978553232502,2.16675202715257,-2.8688039514902,-2.63658173772667
"BTN",-1.17799550329007,0.181063517191807,0.267867010850957,2.43435474388005
"BWA",-2.83925339930796,0.782586101975478,2.85030188056767,2.67258598780445
"CHE",9.22089328467761,4.44345984977515,-0.622810584584128,-0.41976223997865
"CHL",4.68946349760458,-0.782276119875752,-0.607215285535542,0.51688103637075
"CIV",-6.72062253796184,-0.884184181365127,0.186197761359858,-1.29240273618006
"CMR",-6.7403052190851,3.50880466608454,-0.183114552009781,1.21154867025845
"COD",-8.69674976601314,2.37604618464786,-0.392685543758701,-1.39206422716158
"COG",-5.75308995447882,1.0484017013305,-0.834416374891385,0.453491900185728
"COL",1.32652563987532,-0.627432780881484,-1.19305345698261,1.0807931734114
"COM",-5.80426456286634,-2.82212719030916,4.96867210044283,-1.85438940139111
"CPV",-0.340311820993905,-2.16833881443773,2.45509546262987,2.1782366462054
"CRI",3.81162688289263,-0.459220336651298,3.97694491653943,1.63050880323597
"CYP",5.50734560494172,-0.237955450315322,-2.34366417943086,0.752589924697804
"DEU",9.25541559962093,3.39325083668533,-0.49549021025081,-2.19055992817726
"DJI",-3.0687646756724,-4.01424095692254,-1.62189163804521,0.201712009555192
"DNK",9.41407349429084,5.225726414551,5.61754558486444,-0.47694436659925
"DOM",-0.0570104327949752,-0.235648336653773,0.279750193346572,0.776789673527823
