var_name,interpretation
age10_popratio,ratio of people aged 10-14 in the population
age10_popratio_male,ratio of males aged 10-14 in the population
age10_popratio_female,ratio of females aged 10-14 in the population
age50_popratio,ratio of people aged 50-54 in the population
age5_popratio_female,ratio of females aged 5-9 in the population
age5_popratio,ratio of people aged 5-9 in the population
age5_popratio_male,ratio of males aged 5-9 in the population
age45_popratio,ratio of people aged 45-49 in the population
age50_popratio_male,ratio of males aged 50-54 in the population
age55_popratio_male,ratio of males aged 55-59 in the population
age0_popratio_female,ratio of females aged 0-4 in the population
age0_popratio,ratio of people aged 0-4 in the population
age0_popratio_male,ratio of males aged 0-4 in the population
age0_ratio_of_rural_females,ratio of females aged 0-4 in the population in rural areas
age0_ratio_of_rural_males,ratio of males aged 0-4 in the population in rural areas
age55_ratio_of_urban_males,ratio of males aged 55-59 in the population in urban areas
age60_popratio_male,ratio of males aged 60-64 in the population
age50_ratio_of_urban_males,ratio of males aged 50-54 in the population in urban areas
age5_ratio_of_rural_females,ratio of females aged 5-9 in the population in rural areas
age55_popratio,ratio of people aged 55-59 in the population
age5_ratio_of_rural_males,ratio of males aged 5-9 in the population in rural areas
age60_ratio_of_urban_males,ratio of males aged 60-64 in the population in urban areas
age15_popratio_female,ratio of females aged 15-19 in the population
age15_popratio,ratio of people aged 15-19 in the population
age10_ratio_of_rural_females,ratio of females aged 10-14 in the population in rural areas
age60_popratio,ratio of people aged 60-64 in the population
age50_popratio_female,ratio of females aged 50-54 in the population
age15_popratio_male,ratio of males aged 15-19 in the population
age10_ratio_of_rural_males,ratio of males aged 10-14 in the population in rural areas
age15_ratio_of_urban_females,ratio of females aged 15-19 in the population in urban areas
age50_ratio_of_urban_females,ratio of females aged 50-54 in the population in urban areas
age60_ratio_of_rural_males,ratio of males aged 60-64 in the population in rural areas
age65_ratio_of_urban_males,ratio of males aged 65-69 in the population in urban areas
age15to19_mean_enrolment,mean school enrolment between people aged 15 to 19
age15_school,number of people (students and teachers) aged 15-19 in schools
age65_popratio_male,ratio of males aged 65-69 in the population
SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years) "
age10_ratio_of_urban_females,ratio of females aged 10-14 in the population in urban areas
age0_ratio_of_urban_males,ratio of males aged 0-4 in the population in urban areas
age5_ratio_of_urban_females,ratio of females aged 5-9 in the population in urban areas
age0_ratio_of_urban_females,ratio of females aged 0-4 in the population in urban areas
age5_ratio_of_urban_males,ratio of males aged 5-9 in the population in urban areas
age55_ratio_of_rural_males,ratio of males aged 55-59 in the population in rural areas
age55_popratio_female,ratio of females aged 55-59 in the population
age45_popratio_female,ratio of females aged 45-49 in the population
age80_ratio_of_urban_females,ratio of females aged 80-84 in the population in urban areas
age60_ratio_of_urban_females,ratio of females aged 60-64 in the population in urban areas
age10_ratio_of_urban_males,ratio of males aged 10-14 in the population in urban areas
age70_ratio_of_urban_females,ratio of females aged 70-74 in the population in urban areas
age65_popratio,ratio of people aged 65-69 in the population
age15_ratio_of_urban_males,ratio of males aged 15-19 in the population in urban areas
age80_popratio,ratio of people aged 80-84 in the population
age80_ratio_of_urban_males,ratio of males aged 80-84 in the population in urban areas
age60_popratio_female,ratio of females aged 60-64 in the population
age55_ratio_of_urban_females,ratio of females aged 55-59 in the population in urban areas
age45_popratio_male,ratio of males aged 45-49 in the population
age75_popratio,ratio of people aged 75-79 in the population
age80_popratio_male,ratio of males aged 80-84 in the population
age65_ratio_of_urban_females,ratio of females aged 65-69 in the population in urban areas
age75_popratio_male,ratio of males aged 75-79 in the population
age70_ratio_of_urban_males,ratio of males aged 70-74 in the population in urban areas
age45_ratio_of_urban_females,ratio of females aged 45-49 in the population in urban areas
age70_popratio,ratio of people aged 70-74 in the population
age75_ratio_of_urban_females,ratio of females aged 75-79 in the population in urban areas
age75_ratio_of_urban_males,ratio of males aged 75-79 in the population in urban areas
age15_ratio_of_rural_females,ratio of females aged 15-19 in the population in rural areas
age85_popratio,ratio of people aged 85-89 in the population
age50_ratio_of_rural_males,ratio of males aged 50-54 in the population in rural areas
IT.NET.USER.ZS,Individuals using the Internet (% of population)
age80_popratio_female,ratio of females aged 80-84 in the population
age70_popratio_male,ratio of males aged 70-74 in the population
age65_ratio_of_rural_males,ratio of males aged 65-69 in the population in rural areas
age70_popratio_female,ratio of females aged 70-74 in the population
age85_ratio_of_urban_females,ratio of females aged 85-89 in the population in urban areas
age85_ratio_of_urban_males,ratio of males aged 85-89 in the population in urban areas
age75_popratio_female,ratio of females aged 75-79 in the population
age85_popratio_male,ratio of males aged 85-89 in the population
age85_popratio_female,ratio of females aged 85-89 in the population
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
age20_ratio_of_urban_males,ratio of males aged 20-24 in the population in urban areas
age65_popratio_female,ratio of females aged 65-69 in the population
age90_popratio,ratio of people aged 90-94 in the population
primary_pupil_to_teacher_ratio,pupil to teacher ratio in primary schools
age20_ratio_of_urban_females,ratio of females aged 20-24 in the population in urban areas
age20_popratio,ratio of people aged 20-24 in the population
age90_popratio_female,ratio of females aged 90-94 in the population
age45_ratio_of_urban_males,ratio of males aged 45-49 in the population in urban areas
age75_ratio_of_rural_males,ratio of males aged 75-79 in the population in rural areas
age90_ratio_of_urban_males,ratio of males aged 90-94 in the population in urban areas
age90_ratio_of_urban_females,ratio of females aged 90-94 in the population in urban areas
age0to4_mean_enrolment,mean school enrolment between people aged 0 to 4
age0_school,number of people (students and teachers) aged 0-4 in schools
age20_popratio_female,ratio of females aged 20-24 in the population
age90_popratio_male,ratio of males aged 90-94 in the population
age15_ratio_of_rural_males,ratio of males aged 15-19 in the population in rural areas
age40_popratio,ratio of people aged 40-44 in the population
age80_ratio_of_rural_males,ratio of males aged 80-84 in the population in rural areas
age45_ratio_of_rural_males,ratio of males aged 45-49 in the population in rural areas
age70_ratio_of_rural_males,ratio of males aged 70-74 in the population in rural areas
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)"
SP.POP.GROW,Population growth (annual %)
age50_urbanratio_female,number of females aged 50-54 in the population in urban areas divided by total number of females aged 50-54
age60_ratio_of_rural_females,ratio of females aged 60-64 in the population in rural areas
age60_urbanratio_female,number of females aged 60-64 in the population in urban areas divided by total number of females aged 50-54
age55_ratio_of_rural_females,ratio of females aged 55-59 in the population in rural areas
age85_ratio_of_rural_males,ratio of males aged 85-89 in the population in rural areas
age55_urbanratio_female,ratio of females aged 55-59 in the population
age95_popratio,ratio of people aged 95-99 in the population
age20_school,number of people (students and teachers) aged 20-24 in schools
SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
age90_ratio_of_rural_females,ratio of females aged 90 in the population in rural areas
age10_school,number of people (students and teachers) aged 10-14 in schools
age10to14_mean_enrolment,mean school enrolment among people aged 10 to 14
age60_urbanratio_male,number of males aged 60-64 in the population in urban areas divided by total number of males aged 50-54
age20to24_mean_enrolment,mean school enrolment among people aged 20 to 24
age45_urbanratio_female,number of females aged 45-49 in the population in urban areas divided by total number of males aged 45-49
age40_popratio_female,ratio of females aged 40-44 in the population
age95_popratio_female,ratio of females aged 95-99 in the population
age85_ratio_of_rural_females,ratio of females aged 85-89 in the population in rural areas
age70_urbanratio_male,number of males aged 70-74 in the population in urban areas divided by total number of males aged 70-74
age20_ratio_of_rural_females,ratio of females aged 20-24 in the population in rural areas
age20_popratio_male,ratio of males aged 20-24 in the population
age65_urbanratio_male,number of males aged 65-69 in the population in urban areas divided by total number of males aged 65-69
age65_male_workpop_ratio,ratio of males aged 65-69 in the working population
age80_urbanratio_male,number of males aged 80-84 in the population in urban areas divided by total number of males aged 80-84
age85_urbanratio_male,number of males aged 85-89 in the population in urban areas divided by total number of males aged 85-89
age90_urbanratio_male,number of males aged 90-94 in the population in urban areas divided by total number of males aged 90-94
age95_urbanratio_male,number of males aged 95-99 in the population in urban areas divided by total number of males aged 95-99
age100_urbanratio_male,number of males aged 100-105 in the population in urban areas divided by total number of males aged 100-105
age40_urbanratio_female,number of females aged 40-44 in the population in urban areas divided by total number of males aged 40-44
age65_male_workpop_ratio_rural,ratio of males aged 65-69 in the working population in rural areas
age0_urbanratio_male,number of males aged 0-4 in the population in urban areas divided by total number of males aged 0-4
age0_urbanratio_female,number of females aged 0-4 in the population in urban areas divided by total number of females aged 0-5
age65_urbanratio_female,number of females aged 65-69 in the population in urban areas divided by total number of males aged 65-69
age95_ratio_of_urban_females,ratio of females aged 95-99 in the population in urban areas
age65_male_workpop_ratio_urban,ratio of males aged 65-69 in the working population in urban areas
age90_ratio_of_rural_males,ratio of females aged 90-94 in the population in rural areas
age70_ratio_of_rural_females,ratio of females aged 70-74 in the population in rural areas
age65_workpop_ratio,ratio of people aged 65-69 in the working population
age75_urbanratio_male,number of males aged 75-79 in the population in urban areas divided by total number of males aged 75-79
age70_urbanratio_female,number of females aged 70-74 in the population in urban areas divided by total number of females aged 70-74
age75_ratio_of_rural_females,ratio of females aged 75-79 in the population in rural areas
age80_ratio_of_rural_females,ratio of females aged 80-84 in the population in rural areas
age95_ratio_of_rural_females,ratio of females aged 95-99 in the population in rural areas
age25_school,number of people (students and teachers) aged 25-29 in schools
age5_urbanratio_male,number of males aged 0-4 in the population in urban areas divided by total number of males aged 0-4
age65_workpop_ratio_urban,ratio of people aged 65-69 in the working population in urban areas
age50_ratio_of_rural_females,ratio of females aged 50-54 in the population in rural areas
age65_workpop_ratio_rural,ratio of people aged 65-69 in the working population in rural areas
age55_urbanratio_male,number of males aged 55-59 in the population in urban areas divided by total number of males aged 55-59
total_female_urban_ratio,total number of females in the population in urban areas divided by total number of females
SE.SEC.CUAT.UP.ZS,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)"
age5_urbanratio_female,number of females aged 5-9 in the population in urban areas divided by total number of females aged 5-9
age65_ratio_of_rural_females,ratio of females aged 65-69 in the population in rural areas
EG.ELC.ACCS.ZS,Access to electricity (% of population)
age35_urbanratio_female,number of females aged 35-39 in the population in urban areas divided by total number of females aged 35-39
age40_ratio_of_urban_females,ratio of females aged 40-44 in the population in urban areas
age30_urbanratio_female,number of females aged 30-34 in the population in urban areas divided by total number of females aged 30-34
age50_urbanratio_male,number of males aged 50-54 in the population in urban areas divided by total number of males aged 50-54
SH.XPD.CHEX.PP.CD,Current health expenditure per capita (current US$) 
age25_urbanratio_female,number of females aged 25-29 in the population in urban areas divided by total number of females aged 25-29
age85_urbanratio_female,number of females aged 85-89 in the population in urban areas divided by total number of females aged 85-89
age80_urbanratio_female,number of females aged 80-84 in the population in urban areas divided by total number of females aged 80-84
age100_urbanratio_female,number of females aged 100-104 in the population in urban areas divided by total number of females aged 100-104
age95_urbanratio_female,number of females aged 95-99 in the population in urban areas divided by total number of females aged 95-99
age90_urbanratio_female,number of females aged 90-94 in the population in urban areas divided by total number of females aged 90-94
age75_urbanratio_female,number of females aged 75-79 in the population in urban areas divided by total number of females aged 75-79
age95_ratio_of_urban_males,ratio of males aged 95-99 in the population in urban areas
SP.URB.TOTL.IN.ZS,Urban population (% of total population)
SP.RUR.TOTL.ZS,Rural population (% of total population)
total_male_urban_ratio,total number of males in the population in urban areas divided by total number of males
age10_urbanratio_male,number of males aged 10-14 in the population in urban areas divided by total number of males aged 10-14
age20_urbanratio_female,number of females aged 20-24 in the population in urban areas divided by total number of females aged 20-24
age95_popratio_male,ratio of males aged 95-99 in the population  
SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)"
age65_female_workpop_ratio,ratio of females aged 65-69 in the working population
age65_female_workpop_ratio_urban,ratio of females aged 65-69 in the working population in urban areas
age10_urbanratio_female,number of males aged 10-14 in the population in urban areas divided by total number of males aged 10-14
age65_female_workpop_ratio_rural,ratio of females aged 65-69 in the working population in rural areas
