country,iso3,week_end_date,total_confirmed_cases,total_suspected_cases,total_deaths,total_suspected_deaths,new_confirmed_cases,new_suspected_cases,new_deaths,new_suspected_deaths
Benin,BEN,2022-02-27,0,NA,0,NA,0,NA,0,NA
Benin,BEN,2022-02-06,0,NA,0,NA,0,NA,0,NA
Benin,BEN,2022-05-01,0,NA,0,NA,0,NA,0,NA
Benin,BEN,2022-06-05,0,NA,0,NA,0,NA,0,NA
Benin,BEN,2022-01-30,0,NA,0,NA,0,NA,0,NA
Benin,BEN,2022-04-24,0,NA,0,NA,0,NA,0,NA
Benin,BEN,2022-05-29,0,NA,0,NA,0,NA,0,NA
Benin,BEN,2022-05-22,0,NA,0,NA,0,NA,0,NA
Cameroon,CMR,2022-02-06,0,NA,0,NA,0,NA,0,NA
Benin,BEN,2022-01-09,0,NA,0,NA,0,NA,0,NA
Benin,BEN,2022-04-03,0,NA,0,NA,0,NA,0,NA
Benin,BEN,2022-05-08,0,NA,0,NA,0,NA,0,NA
Congo,COG,2022-02-06,0,NA,0,NA,0,NA,0,NA
Congo,COG,2022-03-13,0,NA,0,NA,0,NA,0,NA
Congo,COG,2022-01-16,0,NA,0,NA,0,NA,0,NA
Congo,COG,2022-02-20,0,NA,0,NA,0,NA,0,NA
Cameroon,CMR,2022-01-30,0,NA,0,NA,0,NA,0,NA
Congo,COG,2022-03-27,0,NA,0,NA,0,NA,0,NA
Congo,COG,2024-08-25,47,184,2,0,0,15,0,0
Cameroon,CMR,2022-01-16,0,NA,0,NA,0,NA,0,NA
Cameroon,CMR,2022-02-20,0,NA,0,NA,0,NA,0,NA
Côte d’Ivoire,CIV,2024-06-30,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,COD,2022-01-16,0,NA,0,NA,0,NA,0,NA
Democratic Republic of the Congo,COD,2022-04-10,0,NA,0,NA,0,NA,0,NA
Democratic Republic of the Congo,COD,2022-05-15,0,NA,0,NA,0,NA,0,NA
Congo,COG,2022-01-23,0,NA,0,NA,0,NA,0,NA
Congo,COG,2022-04-17,0,NA,0,NA,0,NA,0,NA
Cameroon,CMR,2022-02-13,0,NA,0,NA,0,NA,0,NA
Democratic Republic of the Congo,COD,2022-02-20,0,NA,0,NA,0,NA,0,NA
Democratic Republic of the Congo,COD,2022-03-27,0,NA,0,NA,0,NA,0,NA
Cameroon,CMR,2022-01-23,0,NA,0,NA,0,NA,0,NA
Cameroon,CMR,2022-02-27,0,NA,0,NA,0,NA,0,NA
Congo,COG,2022-02-27,0,NA,0,NA,0,NA,0,NA
Congo,COG,2022-04-03,0,NA,0,NA,0,NA,0,NA
Gabon,GAB,2024-08-18,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,COD,2022-01-09,0,NA,0,NA,0,NA,0,NA
Democratic Republic of the Congo,COD,2022-04-03,0,NA,0,NA,0,NA,0,NA
Democratic Republic of the Congo,COD,2022-05-08,0,NA,0,NA,0,NA,0,NA
Ghana,GHA,2022-01-23,0,NA,0,NA,0,NA,0,NA
Congo,COG,2022-01-30,0,NA,0,NA,0,NA,0,NA
Democratic Republic of the Congo,COD,2022-02-06,0,NA,0,NA,0,NA,0,NA
Democratic Republic of the Congo,COD,2022-05-01,0,NA,0,NA,0,NA,0,NA
Democratic Republic of the Congo,COD,2022-03-13,0,NA,0,NA,0,NA,0,NA
Democratic Republic of the Congo,COD,2022-04-17,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-02-06,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-03-13,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-04-17,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-07-10,0,NA,0,NA,0,NA,0,NA
Congo,COG,2022-01-09,0,NA,0,NA,0,NA,0,NA
Congo,COG,2022-02-13,0,NA,0,NA,0,NA,0,NA
Congo,COG,2022-03-20,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-03-27,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-05-01,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-06-05,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-08-28,0,NA,0,NA,0,NA,0,NA
Democratic Republic of the Congo,COD,2022-01-23,0,NA,0,NA,0,NA,0,NA
Democratic Republic of the Congo,COD,2022-02-27,0,NA,0,NA,0,NA,0,NA
Ghana,GHA,2022-01-30,0,NA,0,NA,0,NA,0,NA
Ghana,GHA,2022-01-16,0,NA,0,NA,0,NA,0,NA
Ghana,GHA,2022-02-20,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-10-02,0,NA,0,NA,0,NA,0,NA
Ghana,GHA,2022-02-13,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-03-06,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-04-10,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-07-03,0,NA,0,NA,0,NA,0,NA
Rwanda,RWA,2024-07-21,0,0,0,0,0,0,0,0
Liberia,LBR,2022-03-27,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-05-01,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-06-05,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-01-30,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-04-24,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-05-29,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-01-09,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-04-03,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-05-08,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-07-31,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-09-04,0,NA,0,NA,0,NA,0,NA
South Africa,ZAF,2022-01-09,0,NA,0,NA,0,NA,0,NA
South Africa,ZAF,2022-04-03,0,NA,0,NA,0,NA,0,NA
South Africa,ZAF,2022-05-08,0,NA,0,NA,0,NA,0,NA
South Africa,ZAF,2022-06-12,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-02-13,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-03-20,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-06-12,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-07-17,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-02-06,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-03-13,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-04-17,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-07-10,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-08-14,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-02-13,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-03-20,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-06-12,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-07-17,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-01-16,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-02-20,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-05-15,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-06-19,0,NA,0,NA,0,NA,0,NA
Liberia,LBR,2022-07-24,0,NA,0,NA,0,NA,0,NA
South Africa,ZAF,2022-02-13,0,NA,0,NA,0,NA,0,NA
South Africa,ZAF,2022-03-20,0,NA,0,NA,0,NA,0,NA
South Africa,ZAF,2022-04-24,0,NA,0,NA,0,NA,0,NA
Mozambique,MOZ,2022-01-30,0,NA,0,NA,0,NA,0,NA
