IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,108,Burundi,BI,BDI,41,1990,4,Median,3,Both sexes,7,0,4,0-4,0,Not applicable,1,Model-based Estimates,2,Interpolation,1098724.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,108,Burundi,BI,BDI,41,1990,4,Median,3,Both sexes,71,5,9,5-9,0,Not applicable,1,Model-based Estimates,2,Interpolation,912592.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,108,Burundi,BI,BDI,41,1990,4,Median,3,Both sexes,76,10,14,10-14,0,Not applicable,1,Model-based Estimates,2,Interpolation,709911.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,108,Burundi,BI,BDI,41,1990,4,Median,3,Both sexes,67,15,19,15-19,0,Not applicable,1,Model-based Estimates,2,Interpolation,576108.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,108,Burundi,BI,BDI,41,1990,4,Median,3,Both sexes,75,20,24,20-24,0,Not applicable,1,Model-based Estimates,2,Interpolation,470423
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,108,Burundi,BI,BDI,41,1990,4,Median,3,Both sexes,57,25,29,25-29,0,Not applicable,1,Model-based Estimates,2,Interpolation,375297.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,108,Burundi,BI,BDI,41,1990,4,Median,3,Both sexes,62,30,34,30-34,0,Not applicable,1,Model-based Estimates,2,Interpolation,322161
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,108,Burundi,BI,BDI,41,1990,4,Median,3,Both sexes,63,35,39,35-39,0,Not applicable,1,Model-based Estimates,2,Interpolation,278964
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,108,Burundi,BI,BDI,41,1990,4,Median,3,Both sexes,64,40,44,40-44,0,Not applicable,1,Model-based Estimates,2,Interpolation,196775.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,108,Burundi,BI,BDI,41,1990,4,Median,3,Both sexes,69,45,49,45-49,0,Not applicable,1,Model-based Estimates,2,Interpolation,162020
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,108,Burundi,BI,BDI,41,1990,4,Median,3,Both sexes,66,50,54,50-54,0,Not applicable,1,Model-based Estimates,2,Interpolation,133161
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,108,Burundi,BI,BDI,41,1990,4,Median,3,Both sexes,68,55,59,55-59,0,Not applicable,1,Model-based Estimates,2,Interpolation,107168.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,108,Burundi,BI,BDI,41,1990,4,Median,3,Both sexes,60,60,64,60-64,0,Not applicable,1,Model-based Estimates,2,Interpolation,86091.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,108,Burundi,BI,BDI,41,1990,4,Median,3,Both sexes,72,65,69,65-69,0,Not applicable,1,Model-based Estimates,2,Interpolation,67209
